"","LONGITUDE","LATITUDE","LFA","GRID"
"197",-65.2923055948,42.9548837534,"34",214
"198",-66.7276005975,42.799803684,"34",223
"199",-66.5743933782,42.7589507354,"34",224
"200",-64.5077334835,45.7808290221,"35",1
"201",-64.9070663951,45.5597160222,"35",2
"202",-64.7009221588,45.5965779864,"35",3
"203",-65.0385061824,45.4373112693,"35",6
"204",-64.9365661217,45.4317397,"35",7
"205",-65.3441499068,45.1711864465,"35",11
"206",-65.2300063108,45.1950178008,"35",12
"207",-65.0775402239,45.2451122672,"35",13
"208",-64.913429418,45.2571172665,"35",14
"209",-64.7474333905,45.26246875,"35",15
"210",-64.5857484248,45.3061430386,"35",16
"211",-64.4098793927,45.2832605213,"35",17
"212",-64.2472998167,45.2520085511,"35",18
"213",-64.095251634,45.2600955016,"35",19
"214",-63.7479635189,45.3411316284,"35",20
"215",-65.6994164778,45.0136775963,"35",32
"216",-65.5705852197,45.0405758469,"35",33
"217",-65.4106219639,45.0732114225,"35",34
"218",-65.2499990457,45.0833358758,"35",35
"219",-65.0330632983,45.1081196214,"35",36
"220",-65.8742757107,44.8946756987,"35",44
"221",-65.7477919798,44.9139765238,"35",45
"222",-65.5833330148,44.9166679375,"35",46
"223",-65.3794721528,44.9421958209,"35",47
"224",-65.8697614013,44.7385962289,"35",55
"225",-65.7185597474,44.7729408582,"35",56
"226",-65.6641917614,44.670170596,"35",57
"227",-65.4034746199,45.3807422476,"36",4
"228",-65.2450221576,45.4130712501,"36",5
"229",-65.1185993311,45.4373806983,"36",6
"230",-66.073392603,45.2147654896,"36",8
"231",-65.745377933,45.2237493908,"36",9
"232",-65.5762204414,45.2515027204,"36",10
"233",-65.4172446014,45.2506307371,"36",11
"234",-65.2581686331,45.2724699411,"36",12
"235",-65.1487929972,45.3052560501,"36",13
"236",-67.0078073253,45.0926873012,"36",25
"237",-66.75380699,45.049948184,"36",26
"238",-66.5768442744,45.0654324546,"36",27
"239",-66.4191457935,45.0685982402,"36",28
"240",-66.2492726632,45.0926239389,"36",29
"241",-66.0833330147,45.0833358758,"36",30
"242",-65.9164544746,45.1127381923,"36",31
"243",-65.7539562959,45.0887854854,"36",32
"244",-65.5939733072,45.1190266919,"36",33
"245",-65.4552618656,45.1479880008,"36",34
"246",-67.090740892,44.9035014793,"36",37
"247",-66.9168838132,44.9168988407,"36",38
"248",-66.7637771659,44.9511496106,"36",39
"249",-66.5833330146,44.9667072293,"36",40
"250",-66.4166660301,44.9667072293,"36",41
"251",-66.2329577208,44.9387609117,"36",42
"252",-66.0899919864,44.9374826608,"36",43
"253",-65.9311568574,44.9660442572,"36",44
"254",-65.810527165,44.9904791507,"36",45
"255",-66.935954351,44.8012126976,"36",49
