-60.912 46.134
-60.678 46.257
-60.42 46.761
-60.444 46.945
-60.748 46.868
-61.38 47.052
-61.59 47.678
-61.052 47.877
-60.046 47.908
-58.407 47.021
-57.401 46.043
-56.628 45.156
-56.511 44.468
-56.675 43.964
-59.999 42.847
-62.527 42.282
-63.861 42.16
-64.867 41.716
-65.663 41.441
-66.482 41.686
-67.582 42.175
-67.723 44.147
-68.004 44.988
-67.419 45.416
-66.553 45.324
-65.991 45.477
-64.727 45.966
-64.727 46.089
-63.978 45.798
-63.58 45.278
-63.931 45.08
-64.235 44.988
-64.469 45.049
-65.499 44.651
-65.85 44.223
-65.967 43.887
-65.64 43.734
-65.008 43.994
-64.423 44.621
-63.884 44.865
-63.744 44.774
-63.51 44.85
-62.714 44.896
-61.801 45.217
-61.778 45.324
-61.52 45.538
-61.38 45.706
-60.678 45.645
-60.373 45.783
-60.116 45.966
-60.046 46.104
-60.256 46.18
-60.631 45.981
-60.912 45.966
-60.958 46.119
-60.841 46.226
-60.654 46.287
